aName|aUrl
aName2|aUrl2
bName|bUrl
bName2|bUrl2
cName|cUrl
cName2|cUrl2
dName|dUrl
dName2|dUrl2
eName|eUrl
eName2|eUrl2
fName|fUrl
fName2|fUrl2
gName|gUrl
gName2|gUrl2
hName|hUrl
hName2|hUrl2
iName|iUrl
iName2|iUrl2
jName|jUrl
jName2|jUrl2
kName|kUrl
kName2|kUrl2
lName|lUrl
lName2|lUrl2
mName|mUrl
mName2|mUrl2
nName|nUrl
nName2|nUrl2
oName|oUrl
oName2|oUrl2
pName|pUrl
pName2|pUrl2
qName|qUrl
qName2|qUrl2
rName|rUrl
rName2|rUrl2
sName|sUrl
sName2|sUrl2
tName|tUrl
tName2|tUrl2
uName|uUrl
uName2|uUrl2
vName|vUrl
vName2|vUrl2
wName|wUrl
wName2|wUrl2
xName|xUrl
xName2|xUrl2
yName|yUrl
yName2|yUrl2
zName|zUrl
zName2|zUrl2
#Name|#Url
#Name2|#Url2
